risk_id,project_id,project_code,risk_code,category,description,trigger,likelihood,impact,score,response_type,owner_person_id,owner_name,department,due_date,status,residual_score,compliance_flag
4abdc7da-28ff-5b4c-9be7-19c580d61463,2ee385b2-99f4-5b3a-b6f1-a4fd637f6485,THG-CLN-014,R-001,Cost,Material costs exceed estimate due to supplier price increases,,1,2,2,Accept,e74320fc-5dd9-5330-be78-086e0508b50a,Daniel Okafor,Clinical / Medical Affairs,,Closed,1,None
f028ee7a-ab8a-58de-952b-61bd9ef0cc55,2ee385b2-99f4-5b3a-b6f1-a4fd637f6485,THG-CLN-014,R-002,Schedule,Key resource availability conflicts with parallel programs,,2,3,6,Transfer,4d7b84e1-3237-5236-b516-16e5f054a655,Maya Patel,Clinical / Medical Affairs,2026-06-26,Open,,None
5215e25f-e650-52d7-86cf-e561395794d1,2ee385b2-99f4-5b3a-b6f1-a4fd637f6485,THG-CLN-014,R-003,Regulatory,HIPAA audit finding on access controls,,3,2,6,Mitigate,11037be3-710e-5a2e-a7f0-fadee2eb6fdc,Tom Becker,Operations / PMO,,Monitoring,1,HIPAA
ab12a48e-889e-5856-83b5-5c812b1d26d3,2ee385b2-99f4-5b3a-b6f1-a4fd637f6485,THG-CLN-014,R-004,Regulatory,Regulatory submission rejected or delayed by FDA feedback cycle,,3,2,6,Transfer,9b478123-7b4f-5756-a5fb-d912cbdb6589,James Whitfield,Regulatory / Quality,,Closed,4,FDA 21 CFR Part 11
44e49133-f3ca-5c89-9029-3e5c811d9c00,2ee385b2-99f4-5b3a-b6f1-a4fd637f6485,THG-CLN-014,R-005,Technical,Data migration validation uncovers PHI mapping errors,,3,2,6,Mitigate,2855d25e-e048-5080-bb0e-1196ce1352e1,Sofia Reyes,Clinical / Medical Affairs,2026-09-04,Mitigating,1,HIPAA
8720724c-5e6a-5b8c-95b1-02c24e4a1a81,2ee385b2-99f4-5b3a-b6f1-a4fd637f6485,THG-CLN-014,R-006,Technical,Integration defects discovered late in verification,,5,4,20,Transfer,11037be3-710e-5a2e-a7f0-fadee2eb6fdc,Tom Becker,Operations / PMO,,Monitoring,10,None
d146e6a2-c709-5ea9-a476-2840a3067367,2ee385b2-99f4-5b3a-b6f1-a4fd637f6485,THG-CLN-014,R-007,Reputational,Negative trial publicity affects enrollment,,4,5,20,Mitigate,16f1836e-598b-52bc-8d14-4814cbacee42,Anna Lindqvist,Regulatory / Quality,2026-09-03,Mitigating,11,None
e57abedc-7781-5686-bb74-56e13654eb3f,777ea2a7-20e0-5b0d-a53b-ba290af326fc,THG-RND-007,R-001,Regulatory,Regulatory submission rejected or delayed by FDA feedback cycle,,4,3,12,Mitigate,6ac3503b-a8a2-5b42-bda9-e82dc9b054d3,Isabel Fonseca,Operations / PMO,,Monitoring,3,FDA 21 CFR Part 11
21c5cf59-2093-5c26-9ec9-d161b2490d9b,777ea2a7-20e0-5b0d-a53b-ba290af326fc,THG-RND-007,R-002,Technical,Data migration validation uncovers PHI mapping errors,,5,4,20,Avoid,6a0700d0-18fe-5f73-95b1-02d3edc6b753,Priya Nair,Regulatory / Quality,2026-08-26,Mitigating,10,HIPAA
b92c61ce-7eb0-5de0-b028-7c1e387bf3cd,777ea2a7-20e0-5b0d-a53b-ba290af326fc,THG-RND-007,R-003,Vendor,Vendor deliverable slips beyond contractual window,,5,3,15,Mitigate,11037be3-710e-5a2e-a7f0-fadee2eb6fdc,Tom Becker,Operations / PMO,2026-07-13,Open,,None
8dee55cf-cb03-5416-bc5c-8d5f79411ce8,777ea2a7-20e0-5b0d-a53b-ba290af326fc,THG-RND-007,R-004,Schedule,Key resource availability conflicts with parallel programs,,3,2,6,Mitigate,16f1836e-598b-52bc-8d14-4814cbacee42,Anna Lindqvist,Regulatory / Quality,,Monitoring,2,None
530ade2d-1035-56b1-8c22-9b57594100c0,777ea2a7-20e0-5b0d-a53b-ba290af326fc,THG-RND-007,R-005,Schedule,Site activation slower than planned in two regions,,1,4,4,Avoid,16f1836e-598b-52bc-8d14-4814cbacee42,Anna Lindqvist,Regulatory / Quality,2026-05-15,Mitigating,1,None
6750b83b-9338-5f21-b73f-5f6483749e97,777ea2a7-20e0-5b0d-a53b-ba290af326fc,THG-RND-007,R-006,People,Attrition of specialized engineering talent mid-project,,2,4,8,Accept,c11bacc3-9c34-5864-b900-72d7a1a03837,Marcus Chen,R&D / Engineering,2026-08-16,Open,,None
