THERAGEN  |  DM_DDL
PostgreSQL CREATE TABLE statements for the Document Management schema.
—
-- ============================================================
-- doc_mgmt schema
-- Generated from Theragen DBS-001 v1.0
-- ============================================================
CREATE SCHEMA IF NOT EXISTS doc_mgmt;
-- D01  Department
-- Cross-functional department lookup.
CREATE TABLE doc_mgmt.department (
    department_id UUID NOT NULL PRIMARY KEY,
    code VARCHAR(4) NOT NULL UNIQUE,  -- CLN/REG/RND/OPS/FIN/COM/IT/HR/ENT.
    name VARCHAR(100) NOT NULL UNIQUE,  -- Display name.
    head_person_id UUID,  -- Department head.
    active BOOLEAN NOT NULL DEFAULT Active flag.,
    CONSTRAINT fk_department_head_person_id FOREIGN KEY (head_person_id) REFERENCES doc_mgmt.person(person_id)
);
-- D02  Person
-- Workforce member or external contributor.
CREATE TABLE doc_mgmt.person (
    person_id UUID NOT NULL PRIMARY KEY,
    employee_number VARCHAR(20) UNIQUE,  -- HRIS identifier.
    email VARCHAR(254) NOT NULL UNIQUE,  -- Primary email.
    display_name VARCHAR(150) NOT NULL,  -- Full name.
    department_id UUID NOT NULL,  -- Home department.
    role_id UUID,  -- Primary role.
    manager_person_id UUID,  -- Reporting manager (self-ref).
    employment_type VARCHAR NOT NULL DEFAULT Worker type.,  -- employment_type
    active BOOLEAN NOT NULL DEFAULT Active flag.,
    start_date DATE NOT NULL,  -- Start date.
    end_date DATE,  -- End date (if any).
    CONSTRAINT fk_person_department_id FOREIGN KEY (department_id) REFERENCES doc_mgmt.department(department_id),
    CONSTRAINT fk_person_role_id FOREIGN KEY (role_id) REFERENCES doc_mgmt.role(role_id),
    CONSTRAINT fk_person_manager_person_id FOREIGN KEY (manager_person_id) REFERENCES doc_mgmt.person(person_id)
);
-- D03  Role
-- Job role catalog.
CREATE TABLE doc_mgmt.role (
    role_id UUID NOT NULL PRIMARY KEY,
    name VARCHAR(100) NOT NULL UNIQUE,  -- Role name.
    department_id UUID,  -- Owning department, if specific.
    controlled_work BOOLEAN NOT NULL DEFAULT If role performs controlled work (drives training requirement).,
    description TEXT,  -- Role description.
    CONSTRAINT fk_role_department_id FOREIGN KEY (department_id) REFERENCES doc_mgmt.department(department_id)
);
-- D04  Compliance Frame
-- Regulatory or methodological frame.
CREATE TABLE doc_mgmt.compliance_frame (
    frame_id UUID NOT NULL PRIMARY KEY,
    code VARCHAR(32) NOT NULL UNIQUE,  -- Short code.
    name VARCHAR(100) NOT NULL UNIQUE,  -- Display name.
    authority VARCHAR(100) NOT NULL,  -- Issuing body.
    applies_to TEXT NOT NULL,  -- When applicable.
    reference_url VARCHAR(500),  -- Authoritative source URL.
);
-- D05  Document Type
-- Controlled document type catalog (CHR, SOP, etc.).
CREATE TABLE doc_mgmt.document_type (
    document_type_id UUID NOT NULL PRIMARY KEY,
    code VARCHAR(4) NOT NULL UNIQUE,  -- 3-letter type code.
    name VARCHAR(100) NOT NULL,  -- Plain name.
    lifecycle_phase VARCHAR NOT NULL DEFAULT Lifecycle phase.,  -- lifecycle_phase
    default_review_cycle VARCHAR NOT NULL DEFAULT Default review cadence.,  -- review_cycle
