lesson_id,project_id,project_code,category,lesson,what_happened,recommendation,followup_owner_role,status
7bab3792-7a9e-5efe-b85f-5ec7c5c6e3d3,2ee385b2-99f4-5b3a-b6f1-a4fd637f6485,THG-CLN-014,Tools,Template version drift caused rework in two departments,Teams used cached older templates,Enforce template fetch from controlled library,PMO Director,Adopted
f116b23a-1baa-5a7f-a2ee-9e7af1333910,2ee385b2-99f4-5b3a-b6f1-a4fd637f6485,THG-CLN-014,Process,Bi-weekly steering cadence too slow during execution peaks,Decisions queued up to 3 weeks,Move to weekly steering during execution,PMO Director,Addressed
e1ac8ba1-c577-5de0-9e27-a207a9fa4b59,777ea2a7-20e0-5b0d-a53b-ba290af326fc,THG-RND-007,Process,Intake triage SLA needs a fast lane for compliance-flagged requests,Compliance pre-screen added 8 days to urgent intake,Add expedited triage path to SOP-002,PMO Director,Adopted
c0a57a35-675b-5704-a1f0-87ef83676b75,777ea2a7-20e0-5b0d-a53b-ba290af326fc,THG-RND-007,Tools,Template version drift caused rework in two departments,Teams used cached older templates,Enforce template fetch from controlled library,PMO Director,Open
9f153cc7-b7aa-573e-9af5-c8603fb89cd7,5e8efc63-4e18-5155-a82f-8e3539c74478,THG-IT-003,Vendor,Vendor onboarding security review took longer than planned,4-week security review on critical path,Start vendor reviews at contract signature,PMO Director,Open
fe47af2e-21fc-5373-a930-cbc8099feb2c,b30b6540-32d7-52cb-b101-bf086d4dc18d,THG-OPS-009,Regulatory,"Part 11 evidence collection should start at execution, not closing",Evidence assembly compressed at audit,Collect signatures and audit trail exports monthly,PMO Director,Addressed
b3b604d6-a22c-5402-97e5-6e39230addd6,b30b6540-32d7-52cb-b101-bf086d4dc18d,THG-OPS-009,Process,Bi-weekly steering cadence too slow during execution peaks,Decisions queued up to 3 weeks,Move to weekly steering during execution,PMO Director,Archived
7f11b087-876e-5ab9-8989-c0365925fc5a,b30b6540-32d7-52cb-b101-bf086d4dc18d,THG-OPS-009,Team,"Cross-department RACI clarified late, slowed early decisions",RACI agreed only after phase 1,Baseline RACI at charter approval,PMO Director,Open
168cc21a-02ee-539f-892f-4ce518a2eccc,c95418d9-fdc3-5832-bd7f-dc24031e37e3,THG-REG-005,Process,Intake triage SLA needs a fast lane for compliance-flagged requests,Compliance pre-screen added 8 days to urgent intake,Add expedited triage path to SOP-002,PMO Director,Addressed
db013755-17f3-5097-b3de-c7929f60317a,c95418d9-fdc3-5832-bd7f-dc24031e37e3,THG-REG-005,Process,Bi-weekly steering cadence too slow during execution peaks,Decisions queued up to 3 weeks,Move to weekly steering during execution,PMO Director,Adopted
f20dd0e7-44af-5816-8cfe-e0e12c4a0f5a,c95418d9-fdc3-5832-bd7f-dc24031e37e3,THG-REG-005,Team,"Cross-department RACI clarified late, slowed early decisions",RACI agreed only after phase 1,Baseline RACI at charter approval,PMO Director,Adopted
ff5af954-9a88-5021-bd62-4e724919dcf4,c95418d9-fdc3-5832-bd7f-dc24031e37e3,THG-REG-005,Tools,Template version drift caused rework in two departments,Teams used cached older templates,Enforce template fetch from controlled library,PMO Director,Open
ac68361a-c8f9-5cb6-9d94-e365d8d47e15,c95418d9-fdc3-5832-bd7f-dc24031e37e3,THG-REG-005,Vendor,Vendor onboarding security review took longer than planned,4-week security review on critical path,Start vendor reviews at contract signature,PMO Director,Archived
